0 0 100
-197 -297 9 7
368 175 8 3
-147 402 2 6
107 446 4 2
-236 209 5 3
169 -452 6 9
147 136 3 2
372 -270 4 1
-492 192 8 3
210 271 9 0
498 56 1 7
323 -194 5 1
24 405 7 7
313 81 2 9
-395 466 6 8
335 498 4 6
453 341 5 0
-191 351 4 8
-330 311 7 7
489 -184 8 0
-405 398 2 7
211 -415 1 2
-389 -119 4 0
-100 -71 7 2
-464 -314 1 5
160 51 6 3
24 475 2 5
234 -45 3 3
99 -166 4 6
-466 391 1 1
-492 288 7 6
-236 91 8 4
207 -10 4 9
-118 -408 8 3
-340 -245 9 0
-188 -92 1 5
-351 199 5 3
317 -340 6 4
254 275 2 9
-144 473 9 4
-51 -45 7 8
195 75 8 7
123 -34 3 2
146 340 2 1
-386 -312 2 5
370 491 6 7
-465 50 8 8
164 334 8 4
56 -246 6 3
-59 75 3 3
-453 210 5 5
363 -89 3 3
-22 330 4 8
84 344 4 2
80 -408 4 3
419 -423 7 3
397 265 9 5
63 -488 2 8
-82 -66 1 8
-413 -318 8 3
228 -143 2 2
367 144 5 9
-224 -381 2 2
-158 466 1 9
343 -461 9 3
-203 -105 9 8
496 -201 4 6
-496 399 5 5
-340 400 2 9
63 -107 3 8
248 -317 8 8
-183 -426 2 6
480 13 3 1
-73 111 7 3
-434 281 3 6
-34 292 3 0
98 -68 5 4
-216 -163 5 8
352 248 6 9
-35 -349 2 7
142 397 8 9
137 97 4 0
-246 -294 5 8
39 19 1 3
428 -30 9 9
63 -481 1 5
214 -417 1 5
76 -497 4 3
495 32 3 2
213 492 5 9
89 -189 1 6
172 119 6 4
50 32 1 9
-331 -203 9 9
-226 -21 3 6
-63 -261 2 7
9 -175 9 7
-216 451 2 5
-449 240 7 2
112 216 4 5
1
-102 154 180 5
