11.0812 -2.846 10000
11.0812 -2.846 1 0
11.08119990130396 -2.845685840755312 1 0
11.081199605215877 -2.845371681634649 1 0
11.081199111735868 -2.845057522762036 1 0
11.081198420864128 -2.844743364261498 1 0
11.08119753260093 -2.84442920625706 1 0
11.081196446946624 -2.8441150488727467 1 0
11.08119516390164 -2.8438008922325824 1 0
11.081193683466484 -2.8434867364605907 1 0
11.08119200564174 -2.8431725816807956 1 0
11.08119013042807 -2.8428584280172204 1 0
11.081188057826214 -2.8425442755938883 1 0
11.081185787836992 -2.8422301245348214 1 0
11.0811833204613 -2.8419159749640417 1 0
11.08118065570011 -2.8416018270055705 1 0
11.081177793554476 -2.841287680783428 1 0
11.081174734025527 -2.8409735364216346 1 0
11.08117147711447 -2.8406593940442098 1 0
11.081168022822593 -2.840345253775171 1 0
11.081164371151258 -2.840031115738537 1 0
11.081160522101909 -2.839716980058324 1 0
11.081156475676062 -2.8394028468585475 1 0
11.081152231875317 -2.8390887162632223 1 0
11.081147790701348 -2.838774588396363 1 0
11.081143152155908 -2.8384604633819817 1 0
11.081138316240832 -2.83814634134409 1 0
11.081133282958023 -2.837832222406698 1 0
11.081128052309474 -2.8375181066938158 1 0
11.081122624297246 -2.83720399432945 1 0
11.081116998923482 -2.836889885437609 1 0
11.081111176190404 -2.836575780142296 1 0
11.081105156100314 -2.8362616785675163 1 0
11.081098938655582 -2.835947580837271 1 0
11.081092523858667 -2.835633487075562 1 0
11.081085911712101 -2.8353193974063884 1 0
11.081079102218492 -2.8350053119537475 1 0
11.081072095380533 -2.834691230841635 1 0
11.081064891200985 -2.834377154194046 1 0
11.081057489682694 -2.834063082134972 1 0
11.081049890828583 -2.8337490147884044 1 0
11.081042094641651 -2.8334349522783313 1 0
11.081034101124976 -2.8331208947287405 1 0
11.081025910281713 -2.8328068422636163 1 0
11.081017522115097 -2.832492795006942 1 0
11.08100893662844 -2.832178753082698 1 0
11.08100015382513 -2.8318647166148634 1 0
11.080991173708632 -2.831550685727415 1 0
11.080981996282496 -2.831236660544327 1 0
11.080972621550343 -2.830922641189572 1 0
11.080963049515873 -2.830608627787119 1 0
11.080953280182866 -2.830294620460936 1 0
11.08094331355518 -2.829980619334988 1 0
11.080933149636746 -2.829666624533238 1 0
11.08092278843158 -2.8293526361796464 1 0
11.08091222994377 -2.8290386543981696 1 0
11.080901474177487 -2.828724679312764 1 0
11.080890521136975 -2.8284107110473813 1 0
11.08087937082656 -2.828096749725971 1 0
11.080868023250641 -2.827782795472481 1 0
11.0808564784137 -2.827468848410854 1 0
11.080844736320296 -2.8271549086650327 1 0
11.080832796975061 -2.8268409763589553 1 0
11.080820660382711 -2.8265270516165564 1 0
11.080808326548038 -2.8262131345617694 1 0
11.080795795475908 -2.8258992253185236 1 0
