0 0 1000
-413 -453 5 8
-250 -80 1 3
-499 455 5 2
-39 -159 1 9
287 348 5 9
238 -15 7 1
360 482 3 1
-205 -59 6 2
409 433 4 0
-296 -326 7 4
342 63 3 4
-154 -190 8 3
-155 365 1 4
419 -161 6 1
-344 99 5 9
-279 244 9 9
-60 357 8 5
210 -454 2 9
153 -328 7 0
468 387 5 4
179 204 6 9
-87 424 1 7
18 497 6 5
-250 -65 2 3
350 -421 2 0
269 316 7 4
46 336 5 4
364 -138 5 7
54 65 1 7
151 6 1 6
-359 3 6 6
226 384 3 4
92 304 3 7
-300 -491 6 4
59 -191 1 9
-58 74 5 5
-85 -214 9 0
-21 -311 5 7
409 -72 8 3
4 -52 2 7
214 -211 9 2
-12 118 3 3
-370 493 8 4
-433 293 2 4
287 -405 2 2
-479 35 5 0
258 483 6 1
36 175 8 5
432 74 2 5
-157 287 9 4
-479 494 7 7
196 -371 5 0
60 -155 1 3
-294 230 3 8
-19 -402 2 9
411 247 3 5
-230 225 8 2
230 -266 8 7
298 272 6 0
66 -62 6 6
-136 205 1 0
-140 -260 7 1
-379 -370 8 1
57 -33 2 8
114 -132 2 2
395 258 5 7
-4 79 1 7
-324 457 9 1
-135 489 9 3
-481 36 9 4
258 58 1 9
-356 472 4 7
-129 431 9 7
-438 284 3 8
-444 63 5 5
-44 444 4 0
-247 -259 5 5
-141 121 5 1
206 -187 1 5
208 -69 1 7
456 -205 2 2
390 367 2 1
-404 148 8 5
126 -404 3 0
356 426 8 2
-451 -115 6 4
-423 -137 9 0
-164 -238 9 2
-56 -437 3 9
-304 130 2 9
374 -50 6 5
418 -317 9 9
235 -110 9 5
-97 497 5 9
-494 -260 1 0
-246 -329 4 6
-121 336 6 8
-139 390 3 5
-305 -243 8 8
-129 -479 7 0
185 128 6 3
-33 110 2 9
-187 1 5 1
394 334 9 7
-93 -71 3 1
-406 -143 5 3
450 -5 5 3
-83 225 2 9
-159 -373 7 9
-293 -189 5 1
192 -184 4 4
-110 -126 4 8
-30 165 4 5
-278 129 8 8
54 9 3 6
-25 168 5 8
-139 100 2 7
-176 -476 6 0
391 -417 9 6
-179 -373 8 0
-212 270 4 9
258 58 8 4
213 -358 7 8
333 -227 1 7
116 53 4 2
149 -4 6 4
-331 -275 6 2
-64 332 9 9
215 -451 5 4
-316 434 7 2
58 19 2 3
51 73 5 7
-402 -79 3 4
498 -487 7 0
51 -419 4 3
-426 200 8 9
437 -451 6 8
-109 327 1 6
277 -494 3 6
-34 -212 8 7
101 -438 3 1
-149 -64 1 6
-248 -386 4 5
398 63 4 7
-196 164 4 3
187 -302 2 1
312 -88 2 1
89 216 2 0
4 497 2 5
-485 383 3 4
260 475 6 8
332 -122 2 1
74 118 9 3
-441 -344 5 5
-429 484 6 6
-286 -330 8 2
342 331 5 2
70 -173 5 8
120 -358 2 8
171 67 6 6
489 50 2 2
342 1 6 3
306 -362 1 5
21 251 4 7
-170 429 2 1
489 -161 8 6
-202 383 4 5
135 79 1 8
284 -174 7 8
-179 128 7 9
-356 -492 3 0
-331 -485 5 7
121 9 4 7
495 462 3 6
-195 -457 6 5
-446 356 5 2
-2 -236 7 1
429 260 7 7
8 431 5 1
-90 140 9 1
